participants,baseline_score,run,seed,budget,rs_score,rs_evals,ga_score,ga_evals
8,27,1,1,100,2,100,2,100
8,27,2,2,100,4,100,2,100
8,27,3,3,100,4,100,2,100
8,27,4,4,100,2,100,2,100
8,27,5,5,100,0,36,2,100
8,27,6,6,100,2,100,2,100
8,27,7,7,100,0,96,2,100
8,27,8,8,100,2,100,0,70
8,27,9,9,100,0,58,2,100
8,27,10,10,100,4,100,2,100
8,27,11,11,100,2,100,0,82
8,27,12,12,100,2,100,2,100
8,27,13,13,100,2,100,2,100
8,27,14,14,100,4,100,0,82
8,27,15,15,100,4,100,4,100
8,27,16,16,100,4,100,0,63
8,27,17,17,100,4,100,0,73
8,27,18,18,100,2,100,2,100
8,27,19,19,100,2,100,4,100
8,27,20,20,100,2,100,0,88
8,27,21,21,100,4,100,0,47
8,27,22,22,100,4,100,0,98
8,27,23,23,100,4,100,2,100
8,27,24,24,100,0,32,4,100
8,27,25,25,100,2,100,0,23
8,27,26,26,100,0,35,0,61
8,27,27,27,100,4,100,2,100
8,27,28,28,100,2,100,0,30
8,27,29,29,100,0,28,2,100
8,27,30,30,100,0,77,2,100
12,51,1,1,200,18,200,16,200
12,51,2,2,200,17,200,14,200
12,51,3,3,200,15,200,16,200
12,51,4,4,200,15,200,18,200
12,51,5,5,200,15,200,16,200
12,51,6,6,200,18,200,15,200
12,51,7,7,200,20,200,17,200
12,51,8,8,200,16,200,17,200
12,51,9,9,200,20,200,20,200
12,51,10,10,200,22,200,16,200
12,51,11,11,200,17,200,17,200
12,51,12,12,200,19,200,15,200
12,51,13,13,200,17,200,17,200
12,51,14,14,200,16,200,13,200
12,51,15,15,200,22,200,20,200
12,51,16,16,200,15,200,12,200
12,51,17,17,200,18,200,10,200
12,51,18,18,200,16,200,18,200
12,51,19,19,200,18,200,18,200
12,51,20,20,200,19,200,15,200
12,51,21,21,200,15,200,10,200
12,51,22,22,200,21,200,19,200
12,51,23,23,200,20,200,16,200
12,51,24,24,200,15,200,17,200
